# model_1: cps=0.135,seas=1.066
# model_2: cps=0.129,seas=1.084
# model_3: cps=0.131,seas=1.009
# model_4: cps=0.114,seas=1.055
ds,exp_mean,model_1,model_2,model_3,model_4
2001-02-01,4.326790296811573,4.311138340587217,4.335984222982376,4.3316642100114064,4.328994636103461
2001-03-01,3.609995403480697,3.585060301189028,3.6219964340794446,3.6141097984021595,3.620518538740229
2001-04-01,3.214354256719142,3.2314255316524196,3.210443549507252,3.2264714291567937,3.187124240581217
2001-05-01,3.3325405547139377,3.3314118832125317,3.319425599932563,3.316230640351467,3.364652573511467
2001-06-01,3.6670608776027684,3.6618142681744583,3.663068853533252,3.661219144508417,3.6827933342296255
2001-07-01,3.2978196041883803,3.3100014870326575,3.309826071814088,3.3025719530824205,3.2677443695742463
2001-08-01,2.650736608211841,2.700280490909627,2.6429195825598804,2.652726857907796,2.605917210415866
2001-09-01,2.8698838720014015,2.92047534277431,2.9094299492762943,2.893435171373845,2.752540875776787
2001-10-01,2.58452816212212,2.615734958049,2.59396130191562,2.5936009702464187,2.5322956425693004
2001-11-01,1.8142533672550294,1.833585028871168,1.8153509356124715,1.809749309215702,1.7968675819525117
2001-12-01,1.762392297070687,1.774759504727772,1.7557394167868239,1.8133305576302092,1.7028882863799772
2002-01-01,1.9175254311108028,1.8846180156346897,1.9807911496574313,1.919761081448069,1.8841197015359228
2002-02-01,1.9337066498093598,1.9507760774839316,1.9444748550745885,1.9347162224614713,1.9034755922679132
2002-03-01,1.4546788459501758,1.450899923035582,1.460011281484416,1.4605030076264711,1.4470532615702325
2002-04-01,1.9356763794842555,1.9380504894864075,1.9744833002945672,1.9623843729929416,1.86282977989387
2002-05-01,1.8401512390248436,1.8542593863370236,1.838678652973833,1.831917776049826,1.8351213712963634
2002-06-01,1.7437983323988213,1.7443861800618379,1.7359143045589445,1.7516893582254855,1.7429079992078798
2002-07-01,1.7412661291350848,1.714490207080921,1.7047559050322647,1.797981523300285,1.750163719534946
2002-08-01,1.5887741412846768,1.585692759336835,1.5933878854542574,1.5869797060713626,1.5891308516197595
2002-09-01,1.7540065354359071,1.7500239900908259,1.769949532502535,1.7471418782122825,1.7487126739156915
2002-10-01,1.7431867424304113,1.7128645025031872,1.7416151217299554,1.7566083949875662,1.7644802088134899
2002-11-01,1.9278789110106263,1.920032666227188,1.9209493816668157,1.924471610051258,1.9472689688053535
2002-12-01,1.8516468583011514,1.8562635300246324,1.8699222157503073,1.8548372801985122,1.8256098239149692
2003-01-01,1.956551461583225,1.9589004078311767,1.9817896319719885,1.9709025208657511,1.9145022368316633
2003-02-01,2.7215557947011857,2.7361211408950084,2.727397089206958,2.7261011377185334,2.696314639341062
2003-03-01,2.7300324011731605,2.727359088360111,2.7670982768974905,2.7180801487722386,2.707074870305064
2003-04-01,3.5815998688238704,3.564081788823736,3.5688331801945354,3.5822121271501137,3.6120537920613005
2003-05-01,2.4228058531210555,2.425463640179089,2.419979896030367,2.4284335298887054,2.4172581723537334
2003-06-01,2.229652783105572,2.2382313955042505,2.222575953876202,2.221566211631375,2.2362756594364974
2003-07-01,2.3403006882856006,2.3486842932797245,2.338838486558765,2.341624421017542,2.332003313884949
2003-08-01,2.1814649125977414,2.1887960708096035,2.1834472096282056,2.2046214909213484,2.1484828291090263
2003-09-01,2.4306938142778707,2.418333302439562,2.426692067807517,2.455078321229797,2.422738466754698
2003-10-01,2.3512944506819027,2.3442735743270102,2.354322420757816,2.3544325129664365,2.3521587876249566
2003-11-01,2.4809425505243414,2.4830345235185707,2.4789378140279803,2.490271348423997,2.4714026459162772
2003-12-01,2.5306984430174273,2.5432541950710466,2.5219469039562066,2.5514946182585945,2.506111561641892
2004-01-01,2.684116083252325,2.7032051749842125,2.6816130247397174,2.7074268950489655,2.6453051991545786
2004-02-01,2.711814931464331,2.6628228494773536,2.73021170676586,2.7144922675075995,2.7425675953091857
2004-03-01,2.7225351090646024,2.670501958891872,2.7049867884769805,2.729171151022171,2.789501758091813
2004-04-01,2.5189190383322355,2.482531417130605,2.509748591486533,2.4871534857476476,2.600606608192215
2004-05-01,2.7851288624227233,2.802450660744621,2.78038608776762,2.7602784922427213,2.7976566317305367
2004-06-01,3.322261041282782,3.337395019853789,3.328730166149086,3.3140677271322763,3.3086031695709286
2004-07-01,3.090320798464045,3.0930836621425293,3.0689924429025623,3.094081221330634,3.105720930894395
2004-08-01,3.1444554944390166,3.1311600834365443,3.1545213760669117,3.1477397533000726,3.1445768731784365
2004-09-01,3.0680723394305356,3.069036305032575,3.040952754712438,3.0512792867770404,3.111995734368292
2004-10-01,3.1528905242350493,3.121353138191753,3.143259756374862,3.154294565926387,3.1937915618858552
2004-11-01,3.6687873085802534,3.6379191843169725,3.643938832445566,3.7034889537492868,3.689601642640126
2004-12-01,3.5252421764542774,3.519060472220451,3.5204494284161396,3.5203531118561187,3.5413264681469583
2005-01-01,3.063793821594568,3.1000963476000414,2.9997364342410138,3.0551358931096213,3.101012519922081
2005-02-01,3.4374205288552386,3.4156335875809423,3.431168792901838,3.440560779804524,3.4632016787127764
