# model_1: cps=0.135,seas=1.066
# model_2: cps=0.129,seas=1.084
# model_3: cps=0.131,seas=1.009
# model_4: cps=0.114,seas=1.055
ds,exp_mean,model_1,model_2,model_3,model_4
2001-01-01,4.569737786694795,4.801792991633464,4.614522970324179,4.658413672552708,4.17057634750571
2001-02-01,4.310120046851592,4.512920051258895,4.295579539892216,4.397023047991446,4.006828693399275
2001-03-01,3.7551506734931035,3.8807534211771006,3.8307781675126957,3.88515069392127,3.39562392607853
2001-04-01,4.189088065754052,4.347519062264405,4.251579581410798,4.325900670005776,3.8072058415461614
2001-05-01,4.330482465733191,4.607850060761411,4.4264996834298405,4.27559772588484,3.9934066570292526
2001-06-01,3.99266064271063,4.156206454114184,4.159260272093496,4.171220244952169,3.4637689821703104
2001-07-01,3.3050455904523948,3.6291755475505436,3.2291526560207675,3.26694590558877,3.090753213958765
2001-08-01,3.2965231834964692,3.4892491355942834,3.480450220625899,3.391471800702977,2.8103008448684994
2001-09-01,3.410317898510323,3.605686798142127,3.4428068987979206,3.3879396901205325,3.192842184557538
2001-10-01,3.0038688129095914,3.062939555482796,3.025478699459331,2.996324451845071,2.924707409392038
2001-11-01,3.095334148834086,3.150448128219711,3.06806239261852,3.2635036521169916,2.8894820001266712
2001-12-01,3.0996958779115444,3.0790017781504098,3.2991299397622917,3.1254427214782385,2.8878022488078674
2002-01-01,2.6839585293854675,2.8462411029016046,2.7729290039092547,2.590707684808006,2.5178439760863576
2002-02-01,2.5404444148600733,2.749279108888416,2.5475290733832576,2.583284150015091,2.262291531389698
2002-03-01,2.319983753169894,2.5823616998037426,2.461499758947662,2.447230131148295,1.7377318607994772
2002-04-01,2.7152271592941353,2.692822316677857,2.619387602311585,2.8621040544913328,2.6848822646233135
2002-05-01,2.3287488688854263,2.4260531149474023,2.2350415706468496,2.554542220492154,2.079350473245224
2002-06-01,2.1293980916158843,2.2142405663402034,2.208468608140654,2.2571333310902535,1.8115408643546393
2002-07-01,2.160412639456419,2.2748518103063784,2.2958618901155674,2.2172782224021805,1.8240241267880748
2002-08-01,2.116337537870187,2.230801336668243,2.3177515195719742,2.1186326083704667,1.7729906520569685
2002-09-01,2.119396445533427,2.2933137994342427,2.258959168259004,2.0905306738396554,1.808353143536575
2002-10-01,2.292757343462769,2.349068837979102,2.4342139356843546,2.355468026563237,2.016438720199597
2002-11-01,2.106540704512411,2.3110266146920058,2.2148037125233593,2.096937118330752,1.801385708004514
2002-12-01,2.296821773757692,2.329588568979549,2.4431284066046857,2.327830815246765,2.085991411107009
2003-01-01,2.889902161932501,2.9927885449444016,2.990627297970418,2.929544510430972,2.6446206413170303
